id,varname,description
var1,Country,"Country: Name of Country"
var2,"AI Literacy","AI Literacy: The country measure of AI Literacy, as measured by The Global AI Index (GAII)"
var3,"AI Receptivity","AI Receptivity: Measure of IA receptivity by Ipsos, the average of: var10, var11, var12, and var13"
var4,"Human Development Index","Human Development Index: Human Development Index (HDI) measured by the United Nations Development Programme"
var5,"Life Expectancy","Life Expectancy: Life expectancy in a country"
var6,eys_2021,"eys_2021: Expected years of schooling"
var7,mys_2021,"mys_2021: Mean years of schooling"
var8,Education,"Education: The average of var6 and var7"
var9,Income,"Income: Income within a country"
var10,"Will change my life","Will change my life: Products and services using artificial intelligence will profoundly change my daily life in the next 3-5 years - index from 1-100"
var11,"Make life easier","Make life easier: Products and services using artificial intelligence make my life easier - index from 1-100"
var12,Benefits,"Benefits: Products and services using artificial intelligence have more benefits than drawbacks - index from 1-100"
var13,"trust companies with AI","Trust companies with AI: I trust companies using artificial intelligence as much as I trust other companies - index from 1-100"
var14,GDP_per_capita,"GDP per capita"
var15,GDP_growth_rate,"GDP growth rate"
var16,Population_Growth,"Population growth rate"
