id,varname,description
var1,StartDate,"Start time of the survey"
var2,EndDate,"End time of the survey"
var3,Duration__in_seconds_,"Survey duration time"
var4,A1,"var 4 - var28: Literacy test question: 1 = correct, 0= incorrect"
var5,A2,
var6,A3,
var7,A4,
var8,A5,
var9,A6,
var10,A7,
var11,A8,
var12,A9,
var13,A10,
var14,A11,
var15,A12,
var16,A13,
var17,A14,
var18,A15,
var19,A16,
var20,A17,
var21,A18,
var22,A19,
var23,A20,
var24,A21,
var25,A22,
var26,A23,
var27,A24,
var28,A25,
var29,Assignment_1,"Assignment 1 usage likelihood (Opinion piece): 1- I would not use the generative AI agent, 2 – I would use the generative AI agent to come up with ideas, but would write the assignment myself, 3 – I would use the generative AI agent to write the first draft, but would re-write it before submitting it, 4 – I would use the generative AI agent to complete the assignment, but would fact check it to fix any errors before submitting it, 5 – I would use the generative AI agent to complete the assignment, and submit it as written."
var30,Assignment_2,"Assignment 2 usage likelihood (History report): 1- I would not use the generative AI agent, 2 – I would use the generative AI agent to come up with ideas, but would write the assignment myself, 3 – I would use the generative AI agent to write the first draft, but would re-write it before submitting it, 4 – I would use the generative AI agent to complete the assignment, but would fact check it to fix any errors before submitting it, 5 – I would use the generative AI agent to complete the assignment, and submit it as written."
var31,Assignment_3,"Assignment 3 usage likelihood (Poem): 1- I would not use the generative AI agent, 2 – I would use the generative AI agent to come up with ideas, but would write the assignment myself, 3 – I would use the generative AI agent to write the first draft, but would re-write it before submitting it, 4 – I would use the generative AI agent to complete the assignment, but would fact check it to fix any errors before submitting it, 5 – I would use the generative AI agent to complete the assignment, and submit it as written."
var32,Assignment_4,"Assignment 4 usage likelihood (Story): 1- I would not use the generative AI agent, 2 – I would use the generative AI agent to come up with ideas, but would write the assignment myself, 3 – I would use the generative AI agent to write the first draft, but would re-write it before submitting it, 4 – I would use the generative AI agent to complete the assignment, but would fact check it to fix any errors before submitting it, 5 – I would use the generative AI agent to complete the assignment, and submit it as written."
var33,IMC,"Did they fail the IMC: 1- failed; 2- pass"
var34,Gender,"Gender - 0-female; 1-male; 2-non-binary/third gender; 4-prefer not to say"
var35,Age,"Age of subject"
var36,SC0,"Sum of the scores for the 25 item AI Literacy measure"
var37,ID,"User ID"
