id,varname,description
var1,StartDate,"Start time of the survey"
var2,EndDate,"End time of the survey"
var3,RecordedDate,"Survey duration time"
var4,Attention_check,"Results of attention check - anything but 8 was filtered out"
var5,A1,"var5 - var29- Literacy test question: 1 = correct, 0= incorrect"
var6,A2,
var7,A3,
var8,A4,
var9,A5,
var10,A6,
var11,A7,
var12,A8,
var13,A9,
var14,A10,
var15,A11,
var16,A12,
var17,A13,
var18,A14,
var19,A15,
var20,A16,
var21,A17,
var22,A18,
var23,A19,
var24,A20,
var25,A21,
var26,A22,
var27,A23,
var28,A24,
var29,A25,
var30,tasks_1,"var 30 - var 55: task preference - 1 – Definitely prefer the human, 4 – Indifferent, 7 – Definitely prefer the AI algorithm"
var31,tasks_2,
var32,tasks_3,
var33,tasks_4,
var34,tasks_5,
var35,tasks_6,
var36,tasks_7,
var37,tasks_8,
var38,tasks_9,
var39,tasks_10,
var40,tasks_11,
var41,tasks_12,
var42,tasks_13,
var43,tasks_14,
var44,tasks_15,
var45,tasks_16,
var46,tasks_17,
var47,tasks_18,
var48,tasks_19,
var49,tasks_20,
var50,tasks_21,
var51,tasks_22,
var52,tasks_23,
var53,tasks_24,
var54,tasks_25,
var55,tasks_26,
var56,politics_1,"politics - 0 extremely liberal - 10- extremely conservative"
var57,religion_1,"religion - 0 extremely religious - 10- purely atheist"
var58,Gender,"o	Male  (1)  o	Female  (2)  o	Non-binary / Third gender  (3)  o	Other  (4)  o	Prefer not to say  (5) "
var59,Age,"age in years"
var60,Income,"o	Less than $25,000  (1)  o	$25,000-$49,999  (2)  o	$50,000-$99,999  (3)  o	$100,000-$199,999  (4)  o	More than $200,000  (5) "
var61,IMC,"This question is NOT interested in your marital status. Instead, it is designed to ensure you are taking the time to read all questions, even towards the end of the survey. As such, instead of indicating your marital status from the options below, please select other and type the word test into the box provided below.  o	Single  (1)  o	Married  (2)  o	Widowed  (3)  o	Other  (4) __________________________________________________"
var62,IMC_4_TEXT,"Text of IMC if (4) Other was chosen"
var63,IMCCorrect,"Was the IMC correct "
var64,att_check1," Did you answer the questions in this survey to the best of your ability? Answering ""no"" will not jeopardize your payment. o	Yes, I answered the questions to the best of my ability  (1)  o	No, I did not answer the questions to the best of my ability  (2) "
var65,att_check2,"Did you answer the questions in this survey randomly at any point? Answering ""yes"" will not jeopardize your payment. o	Yes, I answered the questions randomly  (1)  o	No, I did not answer the questions randomly  (2) "
var66,AILTScore,"Sum of the scores for the 25 item AI Literacy measure"
var67,order,"Posting order - TestFirst or TestLast"
var68,filter_$,"Filter dummy (0 for those who failed the IMC and should not be included and 1 for those that should be included in the analysis)"
var69,taskOverall,"average task rating"
