id,varname,description
var1,StartDate,"Start time of the survey"
var2,EndDate,"End time of the survey"
var3,Duration__in_seconds_,"Survey duration time"
var4,RecordedDate,"Date of the survey"
var5,tasks_1,"var5 - var30 - objectivity scores of the 26 tasks - 0 mostly subjective, 100 mostly objective"
var6,tasks_2,
var7,tasks_3,
var8,tasks_4,
var9,tasks_5,
var10,tasks_6,
var11,tasks_7,
var12,tasks_8,
var13,tasks_9,
var14,tasks_10,
var15,tasks_11,
var16,tasks_12,
var17,tasks_13,
var18,tasks_14,
var19,tasks_15,
var20,tasks_16,
var21,tasks_17,
var22,tasks_18,
var23,tasks_19,
var24,tasks_20,
var25,tasks_21,
var26,tasks_22,
var27,tasks_23,
var28,tasks_24,
var29,tasks_25,
var30,tasks_26,
var31,politics_1,"politics - 0 extremely liberal - 10- extremely conservative"
var32,religion_1,"religion - 0 extremely religious - 10- purely atheist"
var33,Gender,"Do you identify as... o	Male  (1)  o	Female  (2)  o	Non-binary / Third gender  (3)  o	Other  (4)  o	Prefer not to say  (5) "
var34,Age,"Age How old are you (in years)?"
var35,Income,"What was your total household income before taxes during the past 12 months? o	Less than $25,000  (1)  o	$25,000-$49,999  (2)  o	$50,000-$99,999  (3)  o	$100,000-$199,999  (4)  o	More than $200,000  (5) "
var36,IMC_Correct,"Did they pass IMC - 1 - pass, 0- fail"
var37,att_check1,"Did they pass attention check 1 - 1 - pass, 2- fail"
var38,att_check2,"Did they pass attention check 2 - 2 - pass, 1- fail"
var39,filter_$,"Did they match the inclusion criteria - 1- yes, 0-no"
