id,varname,description
var1,A1,"var1 - var25- Study 2 Literacy test question: 1 = correct, 0= incorrect"
var2,A2,
var3,A3,
var4,A4,
var5,A5,
var6,A6,
var7,A7,
var8,A8,
var9,A9,
var10,A10,
var11,A11,
var12,A12,
var13,A13,
var14,A14,
var15,A15,
var16,A16,
var17,A17,
var18,A18,
var19,A19,
var20,A20,
var21,A21,
var22,A22,
var23,A23,
var24,A24,
var25,A25,
var26,filter_$,"Were observations filtered from the analysis - 0 - -filtered 1 - kept in analysis - see specific studies for further info"
var27,DV,"DV for study 2"
var28,A1,"var28 - var44- Study 3 Literacy test question: 1 = correct, 0= incorrect"
var29,A2,
var30,A3,
var31,A4,
var32,A5,
var33,A6,
var34,A7,
var35,A8,
var36,A9,
var37,A10,
var38,A11,
var39,A12,
var40,A13,
var41,A14,
var42,A15,
var43,A16,
var44,A17,
var45,filter_$,"Were observations filtered from the analysis - 0 - -filtered 1 - kept in analysis - see specific studies for further info"
var46,DV,"DV for study 3"
var47,A1,"var47 - var71 - Study 4 Literacy test question: 1 = correct, 0= incorrect"
var48,A2,
var49,A3,
var50,A4,
var51,A5,
var52,A6,
var53,A7,
var54,A8,
var55,A9,
var56,A10,
var57,A11,
var58,A12,
var59,A13,
var60,A14,
var61,A15,
var62,A16,
var63,A17,
var64,A18,
var65,A19,
var66,A20,
var67,A21,
var68,A22,
var69,A23,
var70,A24,
var71,A25,
var72,filter_$,"Were observations filtered from the analysis - 0 - -filtered 1 - kept in analysis - see specific studies for further info"
var73,DV,"DV for study 4"
var74,A1,"var74 - var90 - Study 5 Literacy test question: 1 = correct, 0= incorrect"
var75,A2,
var76,A3,
var77,A4,
var78,A5,
var79,A6,
var80,A7,
var81,A8,
var82,A9,
var83,A10,
var84,A11,
var85,A12,
var86,A13,
var87,A14,
var88,A15,
var89,A16,
var90,A17,
var91,filter_$,"Were observations filtered from the analysis - 0 - -filtered 1 - kept in analysis - see specific studies for further info"
var92,DV,"DV for study 5"
var93,A1,"var93 - var117 - Study 6 Literacy test question: 1 = correct, 0= incorrect"
var94,A2,
var95,A3,
var96,A4,
var97,A5,
var98,A6,
var99,A7,
var100,A8,
var101,A9,
var102,A10,
var103,A11,
var104,A12,
var105,A13,
var106,A14,
var107,A15,
var108,A16,
var109,A17,
var110,A18,
var111,A19,
var112,A20,
var113,A21,
var114,A22,
var115,A23,
var116,A24,
var117,A25,
var118,filter_$,"Were observations filtered from the analysis - 0 - -filtered 1 - kept in analysis - see specific studies for further info"
var119,DV,"DV for study 6"
var120,A1,"var120 - var136 - Supplemental Study Literacy test question: 1 = correct, 0= incorrect"
var121,A2,
var122,A3,
var123,A4,
var124,A5,
var125,A6,
var126,A7,
var127,A8,
var128,A9,
var129,A10,
var130,A11,
var131,A12,
var132,A13,
var133,A14,
var134,A15,
var135,A16,
var136,A17,
var137,filter_$,"Were observations filtered from the analysis - 0 - -filtered 1 - kept in analysis - see specific studies for further info"
var138,DV,"DV for the Supplemental Study"
var139,A1,"var139 - var155 - Study 7 Literacy test question: 1 = correct, 0= incorrect"
var140,A2,
var141,A3,
var142,A4,
var143,A5,
var144,A6,
var145,A7,
var146,A8,
var147,A9,
var148,A10,
var149,A11,
var150,A12,
var151,A13,
var152,A14,
var153,A15,
var154,A16,
var155,A17,
var156,filter_$,"Were observations filtered from the analysis - 0 - -filtered 1 - kept in analysis - see specific studies for further info"
var157,DV,"DV for study 7"
