tool,category,count,share
AI_image,1,260,0.6483790523690773
AI_image,2,63,0.1571072319201995
AI_image,3,41,0.10224438902743142
AI_image,4,30,0.07481296758104738
AI_image,5,7,0.017456359102244388
AI_productivity,1,314,0.7830423940149626
AI_productivity,2,40,0.09975062344139651
AI_productivity,3,27,0.06733167082294264
AI_productivity,4,10,0.02493765586034913
AI_productivity,5,10,0.02493765586034913
AI_website,1,304,0.7581047381546134
AI_website,2,44,0.10972568578553615
AI_website,3,22,0.05486284289276808
AI_website,4,23,0.057356608478802994
AI_website,5,8,0.0199501246882793
AI_healthapp,1,268,0.6683291770573566
AI_healthapp,2,46,0.11471321695760599
AI_healthapp,3,39,0.09725685785536159
AI_healthapp,4,33,0.08229426433915212
AI_healthapp,5,15,0.03740648379052369
AI_text,1,131,0.3266832917705736
AI_text,2,78,0.19451371571072318
AI_text,3,66,0.16458852867830423
AI_text,4,76,0.18952618453865336
AI_text,5,50,0.12468827930174564
