group,z_literacy,P(y=1),P(y=2),P(y=3),P(y=4),P(y=5)
Text only,-2.0,0.27498475824439433,0.20475375401838863,0.18434607718518037,0.20795189734830866,0.127963513203728
Text only,-1.75,0.27950663510387785,0.205866657977887,0.18372663642373405,0.2054336929641295,0.1254663775303716
Text only,-1.5,0.28407373530864116,0.20693805950157546,0.18306534430599408,0.20291176280678824,0.12301109807700106
Text only,-1.25,0.28868556042189397,0.20796702385821753,0.18236281447345626,0.20038736046777705,0.12059724077865519
Text only,-1.0,0.2933415792019142,0.2089526467931609,0.18161969534799438,0.19786171330243407,0.11822436535449643
Text only,-0.75,0.2980412274598238,0.2098940561311748,0.18083666890382144,0.1953360216740745,0.11589202583110547
Text only,-0.5,0.3027839079615838,0.2107904133369461,0.18001444938582045,0.1928114582638315,0.11359977105181818
Text only,-0.25,0.30756899037559043,0.21164091502868604,0.17915378197822773,0.19028916744553848,0.11134714517195732
Text only,0.0,0.31239581126717536,0.21244479444039005,0.1782554414277503,0.1877702647248375,0.10913368813984681
Text only,0.25,0.31726367414122036,0.2132013228283942,0.177320230625301,0.18525583624155006,0.10695893616353436
Text only,0.5,0.3221718495340035,0.21390981081799937,0.17634897915060277,0.1827469383342195,0.10482242216317483
Text only,0.75,0.3271195751552876,0.2145696096860788,0.17534254178397024,0.1802445971656026,0.10272367620906075
Text only,1.0,0.33210605608155264,0.21518011257574088,0.17430179698961623,0.17774980840777532,0.10066222594531493
Text only,1.25,0.3371304650011571,0.21574075563930312,0.1732276453748448,0.17526353698541008,0.09863759699928487
Text only,1.5,0.3421919425120883,0.2162510191060263,0.17212100812949838,0.1727867168756807,0.09664931337670635
Text only,1.75,0.3472895974728339,0.21671042827127002,0.1709828254500012,0.1703202509631685,0.09469689784272639
Text only,2.0,0.3524225074067719,0.2171185544039575,0.16981405495231872,0.16786501094805406,0.09277987228889784
Non-text only,-2.0,0.4956152042989843,0.1900062349415993,0.15044044061823525,0.11646194180992553,0.047476178331255614
Non-text only,-1.75,0.5191767903899065,0.1864030785815297,0.14299898700463565,0.1080313388612123,0.043389805162715844
Non-text only,-1.5,0.5426533909565683,0.18212646264896393,0.1355199742940988,0.100059654883483,0.039640517216885995
Non-text only,-1.25,0.5659420617940231,0.17724142373073715,0.12806769050837463,0.09254588169333622,0.03620294227352894
Non-text only,-1.0,0.5889431478584156,0.17181955049611952,0.12069961903189874,0.08548447312235075,0.033053209491215374
Non-text only,-0.75,0.6115619507471499,0.16593691165592184,0.1134660959919257,0.07886610930102467,0.03016893230397788
Non-text only,-0.5,0.6337102172311985,0.159671989788012,0.10641020996695572,0.07267840672067227,0.02752917629316154
Non-text only,-0.25,0.6553074020511929,0.15310370714953547,0.09956790958976813,0.06690656579983789,0.025114415409665636
Non-text only,0.0,0.6762816714167705,0.1463096161951194,0.0929682814541053,0.061533951487553806,0.022906479446450967
Non-text only,0.25,0.6965706280453732,0.13936431097682567,0.08663396021289338,0.05654260554246138,0.0208884952224464
Non-text only,0.5,0.716121752975188,0.13233809757930493,0.08058163434455223,0.05191369155974923,0.019044823541205624
Non-text only,0.75,0.7348925727310825,0.12529594380328035,0.07482261419941993,0.047627875633709404,0.01736099363250776
Non-text only,1.0,0.7528505718663012,0.1182967117652739,0.06936343307844117,0.04366564681778973,0.01582363647219398
Non-text only,1.25,0.7699728798712537,0.11139266290553074,0.06420645676009185,0.04000758235998336,0.01442041810314032
Non-text only,1.5,0.7862457676489752,0.10462921368896438,0.05935048168277668,0.03663456313356095,0.013139973845722741
Non-text only,1.75,0.8016639921920691,0.09804491228465573,0.05479130660585663,0.0335279448311574,0.011971844086261174
Non-text only,2.0,0.8162300289718036,0.09167160164747423,0.050522266801610316,0.03066969041582035,0.010906412163291468
