spec,group,model,n_participants,n_rows,beta,se,p,or
Demographic-adjusted,Pooled (5 tools),OLS,401,401,-0.1808848098443702,0.05289445970418881,0.0006268314694413617,
Demographic-adjusted,Pooled (5 tools),Ordered logit,401,2005,-0.3074067225089497,0.05411238491656326,1.3399250844608034e-08,
Demographic-adjusted,Pooled (5 tools),Binary logit (Y > 3),401,2005,-0.31962419740573045,0.08636706386182347,0.00021495056714420068,0.7264219770482125
Demographic-adjusted,Pooled (5 tools),Binary adoption (Y > 1),401,2005,-0.3300618308875948,0.06135792136072943,7.478166880207911e-08,0.7188792831135906
Demographic-adjusted,Text only,OLS,401,401,-0.07656534174712962,0.08209669606338375,0.35101418337240786,
Demographic-adjusted,Text only,Ordered logit,401,401,-0.09026732525687814,0.10443546374564587,0.3874033695657513,
Demographic-adjusted,Text only,Binary logit (Y > 3),401,401,-0.10252644966740213,0.14093808500176663,0.4669458166183441,0.9025542771767724
Demographic-adjusted,Text only,Binary adoption (Y > 1),401,401,-0.060742869210344476,0.1276554805975882,0.6341923592039622,0.9410651855030945
Demographic-adjusted,Non-text only,OLS,401,401,-0.20696467686868,0.05360827971462441,0.00011306963278337503,
Demographic-adjusted,Non-text only,Ordered logit,401,1604,-0.37713775696981733,0.06278076420032629,1.887333015871286e-09,
Demographic-adjusted,Non-text only,Binary logit (Y > 3),401,1604,-0.3979514778928052,0.10307022765644593,0.00011293588281590857,0.6716946189096062
Demographic-adjusted,Non-text only,Binary adoption (Y > 1),401,1604,-0.3878447316905771,0.06876048599972796,1.6953973404789745e-08,0.6785176873798241
Original Table 4 covariates,Pooled (5 tools),OLS,379,379,-0.2485776612240951,0.058734560679539145,2.3139451549717132e-05,
Original Table 4 covariates,Pooled (5 tools),Ordered logit,379,1895,-0.4490420791582849,0.05756104469699087,6.1347777200961285e-15,
Original Table 4 covariates,Pooled (5 tools),Binary logit (Y > 3),379,1895,-0.5131737156035132,0.09431622577860026,5.298505441164626e-08,0.5985927976642006
Original Table 4 covariates,Pooled (5 tools),Binary adoption (Y > 1),379,1895,-0.45225755175325366,0.06742675021652196,1.9813537370643386e-11,0.6361902966967827
Original Table 4 covariates,Text only,OLS,379,379,-0.21704361025132474,0.083787593548619,0.009586371158888642,
Original Table 4 covariates,Text only,Ordered logit,379,379,-0.28960935615427574,0.11172661421264198,0.009538509157791425,
Original Table 4 covariates,Text only,Binary logit (Y > 3),379,379,-0.3222327230114516,0.1541481193118358,0.036581012778223364,0.7245295560079605
Original Table 4 covariates,Text only,Binary adoption (Y > 1),379,379,-0.2378995085175721,0.14473651946845736,0.10024376691532533,0.7882819027306328
Original Table 4 covariates,Non-text only,OLS,379,379,-0.25646117396728785,0.06023663912013804,2.0666914891860555e-05,
Original Table 4 covariates,Non-text only,Ordered logit,379,1516,-0.5018723246683011,0.06662731256377592,4.976594914209513e-14,
Original Table 4 covariates,Non-text only,Binary logit (Y > 3),379,1516,-0.5774785858822276,0.11159824301810446,2.2837435699448545e-07,0.5613118834932738
Original Table 4 covariates,Non-text only,Binary adoption (Y > 1),379,1516,-0.49671869063096613,0.0751443021416229,3.838071987495573e-11,0.6085241432784542
